City,State,2021,2010,Change
Teixeira de Freitas, Bahia,164290,138341,0.1876
Nilópolis, Rio de Janeiro,162893,157425,0.0347
São Caetano do Sul, São Paulo,162763,149263,0.0904
Abaetetuba, Pará,160439,141100,0.1371
Camaragibe, Pernambuco,159945,144466,0.1071
Rio das Ostras, Rio de Janeiro,159529,105676,0.5096
Franco da Rocha, São Paulo,158438,131604,0.2039
Barreiras, Bahia,158432,137427,0.1528
Ilhéus, Bahia,157639,184236,-0.1444
Paranaguá, Paraná,157378,140469,0.1204
Lages, Santa Catarina,157158,156727,0.0028
Jequié, Bahia,156277,151895,0.0288
Patos de Minas, Minas Gerais,154641,138710,0.1149
Pouso Alegre, Minas Gerais,154293,130615,0.1813
Mogi Guaçu, São Paulo,154146,137245,0.1231
Parnaíba, Piauí,153863,145705,0.056
Jaú, São Paulo,153463,131040,0.1711
Alagoinhas, Bahia,153023,141949,0.078
Porto Seguro, Bahia,152529,126929,0.2017
Queimados, Rio de Janeiro,152311,137962,0.104
Botucatu, São Paulo,149718,127328,0.1758
Balneário Camboriú, Santa Catarina,149227,108089,0.3806
Sinop, Mato Grosso,148960,113099,0.3171
Araucária, Paraná,148522,119123,0.2468
Atibaia, São Paulo,145378,126603,0.1483
Santana de Parnaíba, São Paulo,145073,108813,0.3332
Toledo, Paraná,144601,119313,0.2119
Sapucaia do Sul, Rio Grande do Sul,142508,130957,0.0882
Garanhuns, Pernambuco,141347,129408,0.0923
Teófilo Otoni, Minas Gerais,141269,134745,0.0484
Cametá, Pará,140814,120896,0.1648
Brusque, Santa Catarina,140597,105503,0.3326
Vitória de Santo Antão, Pernambuco,140389,129974,0.0801
Barbacena, Minas Gerais,139061,126284,0.1012
Santa Rita, Paraíba,138093,120310,0.1478
Sabará, Minas Gerais,137877,126269,0.0919
Varginha, Minas Gerais,137608,123081,0.118
Apucarana, Paraná,137438,120919,0.1366
Simões Filho, Bahia,137117,118047,0.1615
Araras, São Paulo,136739,118843,0.1506
Itaguaí, Rio de Janeiro,136547,109091,0.2517
Araruama, Rio de Janeiro,136109,112008,0.2152
Marituba, Pará,135812,108246,0.2547
São Félix do Xingu, Pará,135732,91340,0.486
Campo Largo, Paraná,135678,112377,0.2073
Pinhais, Paraná,134788,117008,0.152
São Mateus, Espírito Santo,134629,109028,0.2348
Crato, Ceará,133913,121428,0.1028
Resende, Rio de Janeiro,133244,119769,0.1125
Valinhos, São Paulo,133169,106793,0.247
Cubatão, São Paulo,132521,118720,0.1162
Santa Cruz do Sul, Rio Grande do Sul,132271,118374,0.1174
Cachoeirinha, Rio Grande do Sul,132144,118278,0.1172
Trindade, Goiás,132006,104488,0.2634
Vespasiano, Minas Gerais,131849,104527,0.2614
Itapipoca, Ceará,131687,116065,0.1346
Maranguape, Ceará,131677,113561,0.1595
Ji-Paraná, Rondônia,131026,116610,0.1236
Conselheiro Lafaiete, Minas Gerais,130584,116512,0.1208
Bragança, Pará,130122,113227,0.1492
Barcarena, Pará,129333,99859,0.2952
Guarapari, Espírito Santo,128504,105286,0.2205
Sertãozinho, São Paulo,128432,110074,0.1668
Jandira, São Paulo,127734,108344,0.179
Uruguaiana, Rio Grande do Sul,126766,125435,0.0106
Arapongas, Paraná,126545,104150,0.215
Birigui, São Paulo,126094,108728,0.1597
Formosa, Goiás,125705,100085,0.256
Paço do Lumiar, Maranhão,125265,105121,0.1916
Ribeirão Pires, São Paulo,125238,113068,0.1076
Caraguatatuba, São Paulo,125194,100840,0.2415
Três Lagoas, Mato Grosso do Sul,125137,101791,0.2294
Santana, Amapá,124808,101262,0.2325
Votorantim, São Paulo,124468,108809,0.1439
Colatina, Espírito Santo,124283,111788,0.1118
Várzea Paulista, São Paulo,124269,107089,0.1604
Itatiba, São Paulo,124254,101471,0.2245
Tatuí, São Paulo,124134,107326,0.1566
Barretos, São Paulo,123546,112101,0.1021
Codó, Maranhão,123368,118038,0.0452
Guaratinguetá, São Paulo,123192,112072,0.0992
Catanduva, São Paulo,123114,112820,0.0912
Bento Gonçalves, Rio Grande do Sul,123090,107278,0.1474
Itabira, Minas Gerais,121717,109783,0.1087
Bagé, Rio Grande do Sul,121518,116794,0.0404
Senador Canedo, Goiás,121447,84443,0.4382
Almirante Tamandaré, Paraná,121420,103204,0.1765
Salto, São Paulo,120779,105516,0.1447
Igarassu, Pernambuco,119690,102021,0.1732
Novo Gama, Goiás,119649,95018,0.2592
Poá, São Paulo,119221,106013,0.1246
Paulo Afonso, Bahia,119213,108396,0.0998
Araguari, Minas Gerais,118361,109801,0.078
Ubá, Minas Gerais,117995,101519,0.1623
Altamira, Pará,117320,99075,0.1842
Piraquara, Paraná,116852,93207,0.2537
Tucuruí, Pará,116605,97128,0.2005
Parintins, Amazonas,116439,102033,0.1412
Passos, Minas Gerais,115970,106290,0.0911
Paragominas, Pará,115838,97819,0.1842
Eunápolis, Bahia,115360,100196,0.1513
Ourinhos, São Paulo,115139,103035,0.1175
São Lourenço da Mata, Pernambuco,114910,102895,0.1168
Paulínia, São Paulo,114508,82146,0.394
Açailândia, Maranhão,113783,104047,0.0936
Umuarama, Paraná,113416,100676,0.1265
Catalão, Goiás,113091,86647,0.3052
Corumbá, Mato Grosso do Sul,112669,103703,0.0865
Santa Cruz do Capibaribe, Pernambuco,111812,87582,0.2767
Tailândia, Pará,111554,79297,0.4068
Ariquemes, Rondônia,111148,90353,0.2302
Coronel Fabriciano, Minas Gerais,110709,103694,0.0677
Muriaé, Minas Gerais,109997,100765,0.0916
Patos, Paraíba,108766,100674,0.0804
Araxá, Minas Gerais,108403,93672,0.1573
Nova Serrana, Minas Gerais,108241,73699,0.4687
Cambé, Paraná,108126,96733,0.1178
Tangará da Serra, Mato Grosso,107631,83431,0.2901
São Pedro da Aldeia, Rio de Janeiro,107556,87875,0.224
